,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
2482,Kiliann Sildillia,fr FRA,DF,Freiburg,de Bundesliga,19,2002,7,1,169,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.09,0.09,0.00,0.09,Matches,313254a3
2483,Adrien Silva,pt POR,MF,Sampdoria,it Serie A,32,1989,17,12,1083,12.0,0,1,0,0,0,3,1,0.00,0.08,0.08,0.00,0.08,0.3,0.3,0.5,0.8,0.02,0.04,0.07,0.02,0.07,Matches,d6f88a1d
2484,André Silva,pt POR,FW,RB Leipzig,de Bundesliga,25,1995,33,24,2076,23.1,11,3,8,3,3,1,0,0.48,0.13,0.61,0.35,0.48,12.2,10.3,2.5,12.9,0.53,0.11,0.64,0.45,0.56,Matches,3effaa34
2485,Bernardo Silva,pt POR,MFFW,Manchester City,eng Premier League,26,1994,35,33,2857,31.7,8,4,8,0,0,6,0,0.25,0.13,0.38,0.25,0.38,6.8,6.8,5.2,12.0,0.21,0.16,0.38,0.21,0.38,Matches,3eb22ec9
2486,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,24,1997,34,31,2662,29.6,2,8,2,0,0,5,0,0.07,0.27,0.34,0.07,0.34,1.0,1.0,5.8,6.8,0.03,0.20,0.23,0.03,0.23,Matches,30af8b93
2487,David Silva,es ESP,MF,Real Sociedad,es La Liga,35,1986,25,22,1720,19.1,2,4,2,0,0,4,1,0.10,0.21,0.31,0.10,0.31,2.7,2.7,4.4,7.1,0.14,0.23,0.37,0.14,0.37,Matches,e2716bd0
2488,Fábio Silva,pt POR,FW,Wolves,eng Premier League,19,2002,22,6,572,6.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2.3,2.3,0.2,2.4,0.36,0.02,0.38,0.36,0.38,Matches,e7aa9d7c
2489,Gabriel Silva,br BRA,DF,Saint-Étienne,fr Ligue 1,30,1991,13,9,713,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.00,0.01,0.00,0.01,Matches,4914ed4a
2490,Jonathan Silva,ar ARG,DFMF,Getafe,es La Liga,27,1994,9,1,226,2.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.04,0.05,0.01,0.05,Matches,f2308b33
2491,Rui Silva,pt POR,GK,Betis,es La Liga,27,1994,22,21,1964,21.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ea83bfa6
2492,Thiago Silva,br BRA,DF,Chelsea,eng Premier League,36,1984,32,28,2650,29.4,3,0,3,0,0,2,0,0.10,0.00,0.10,0.10,0.10,0.9,0.9,0.2,1.1,0.03,0.01,0.04,0.03,0.04,Matches,86e7deaf
2493,Marco Silvestri,it ITA,GK,Udinese,it Serie A,30,1991,35,35,3150,35.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,0d422df7
2494,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,21,2000,28,23,2009,22.3,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,0.9,0.9,0.3,1.2,0.04,0.01,0.05,0.04,0.05,Matches,fcb27134
2495,Giovanni Simeone,ar ARG,FW,Hellas Verona,it Serie A,26,1995,35,32,2653,29.5,17,5,17,0,1,8,0,0.58,0.17,0.75,0.58,0.75,10.7,9.9,2.7,12.6,0.36,0.09,0.45,0.34,0.43,Matches,343c0d52
2496,Giovanni Simeone,ar ARG,FW,Cagliari,it Serie A,26,1995,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,343c0d52
2497,Giuliano Simeone,ar ARG,DF,Atlético Madrid,es La Liga,18,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a6536561
2498,Ellis Simms,eng ENG,FW,Everton,eng Premier League,20,2001,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,26d3b5be
2499,Moses Simon,ng NGA,FWMF,Nantes,fr Ligue 1,26,1995,30,29,2332,25.9,6,8,6,0,0,3,0,0.23,0.31,0.54,0.23,0.54,4.0,4.0,7.2,11.1,0.15,0.28,0.43,0.15,0.43,Matches,5f3eaaf5
2500,Unai Simón,es ESP,GK,Athletic Club,es La Liga,24,1997,34,34,3060,34.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5dcf3e90
2501,Xavi Simons,nl NED,FWMF,Paris S-G,fr Ligue 1,18,2003,6,1,132,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.21,0.07,0.29,0.21,0.29,Matches,da4d670f
2502,Wilfried Singo,ci CIV,DF,Torino,it Serie A,20,2000,35,32,2607,29.0,3,4,3,0,0,5,1,0.10,0.14,0.24,0.10,0.24,2.7,2.7,2.4,5.1,0.09,0.08,0.18,0.09,0.18,Matches,8b609c34
2503,Daley Sinkgraven,nl NED,DF,Leverkusen,de Bundesliga,26,1995,12,3,351,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.9,0.07,0.15,0.22,0.07,0.22,Matches,73000a79
2504,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,33,1988,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0d8a37c2
2505,Hugo Siquet,be BEL,DF,Freiburg,de Bundesliga,19,2002,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c6cf860f
2506,Salvatore Sirigu,it ITA,GK,Genoa,it Serie A,34,1987,37,37,3330,37.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,10dc46f0
2507,Issouf Sissokho,ml MLI,MF,Bordeaux,fr Ligue 1,19,2002,7,6,436,4.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.03,0.07,0.10,0.03,0.10,Matches,792a9d41
2508,Ibrahima Sissoko,fr FRA,MFDF,Strasbourg,fr Ligue 1,23,1997,35,26,2303,25.6,2,5,2,0,0,6,0,0.08,0.20,0.27,0.08,0.27,2.6,2.6,4.2,6.8,0.10,0.16,0.27,0.10,0.27,Matches,0f8418aa
2509,Moussa Sissoko,fr FRA,MF,Watford,eng Premier League,31,1989,36,36,3220,35.8,2,1,2,0,0,5,0,0.06,0.03,0.08,0.06,0.08,3.4,3.4,2.8,6.2,0.10,0.08,0.17,0.10,0.17,Matches,2acd49b9
2510,Nelson Sissoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,24,1997,1,1,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,12bd0579
2511,Sambou Sissoko,fr FRA,MFDF,Reims,fr Ligue 1,22,1999,8,0,176,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.4,0.08,0.15,0.23,0.08,0.23,Matches,e4bb1f08
2512,Antonio Sivera,es ESP,GK,Alavés,es La Liga,24,1996,4,3,277,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9970da54
2513,Ellyes Skhiri,tn TUN,MF,Köln,de Bundesliga,26,1995,22,20,1820,20.2,4,1,4,0,0,3,0,0.20,0.05,0.25,0.20,0.25,3.3,3.3,0.6,3.9,0.16,0.03,0.19,0.16,0.19,Matches,c2211709
2514,Oliver Skipp,eng ENG,MF,Tottenham,eng Premier League,20,2000,18,14,1350,15.0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.06,0.07,0.01,0.07,Matches,6250083a
2515,Leo Skiri Østigård,no NOR,DF,Genoa,it Serie A,21,1999,15,13,1172,13.0,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.02,0.01,0.03,0.02,0.03,Matches,b35a7399
2516,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,30,1991,36,36,3240,36.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ab4449d6
2517,Andreas Skov Olsen,dk DEN,DFFW,Bologna,it Serie A,21,1999,18,6,747,8.3,0,2,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.9,0.9,0.4,1.3,0.11,0.05,0.15,0.11,0.15,Matches,c50cee19
2518,Robert Skov,dk DEN,DFFW,Hoffenheim,de Bundesliga,25,1996,12,3,368,4.1,0,1,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,0.8,0.8,1.4,2.2,0.19,0.34,0.53,0.19,0.53,Matches,ff98492b
2519,Milan Škriniar,sk SVK,DF,Inter,it Serie A,26,1995,35,35,3150,35.0,3,0,3,0,0,3,0,0.09,0.00,0.09,0.09,0.09,2.5,2.5,0.6,3.1,0.07,0.02,0.09,0.07,0.09,Matches,30f5ffa9
2520,Islam Slimani,dz ALG,FW,Lyon,fr Ligue 1,33,1988,12,6,573,6.4,1,1,1,0,0,3,0,0.16,0.16,0.31,0.16,0.31,1.8,1.8,0.7,2.5,0.28,0.11,0.39,0.28,0.39,Matches,ffec9769
2521,William Smallbone,ie IRL,MFFW,Southampton,eng Premier League,21,2000,4,2,133,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.05,0.06,0.12,0.05,0.12,Matches,5e105217
2522,Chris Smalling,eng ENG,DF,Roma,it Serie A,31,1989,27,23,2091,23.2,3,0,3,0,0,0,0,0.13,0.00,0.13,0.13,0.13,1.7,1.7,0.1,1.8,0.07,0.00,0.08,0.07,0.08,Matches,b6964eb6
2523,Emile Smith Rowe,eng ENG,MFFW,Arsenal,eng Premier League,21,2000,33,21,1921,21.3,10,2,10,0,0,1,0,0.47,0.09,0.56,0.47,0.56,5.8,5.8,2.2,8.0,0.27,0.10,0.37,0.27,0.37,Matches,17695062
2524,Cédric Soares,pt POR,DF,Arsenal,eng Premier League,29,1991,21,16,1486,16.5,1,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,0.5,0.5,1.4,2.0,0.03,0.09,0.12,0.03,0.12,Matches,839c14e1
2525,Danilo Soares,br BRA,DF,Bochum,de Bundesliga,29,1991,30,30,2564,28.5,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,0.5,0.5,1.2,1.8,0.02,0.04,0.06,0.02,0.06,Matches,c05f2f8c
2526,Rubén Sobrino,es ESP,FWMF,Cádiz,es La Liga,29,1992,33,19,1861,20.7,4,1,4,0,0,4,0,0.19,0.05,0.24,0.19,0.24,6.3,6.3,1.9,8.2,0.31,0.09,0.40,0.30,0.40,Matches,19b776e9
2527,Rubén Sobrino,es ESP,MF,Valencia,es La Liga,29,1992,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,19b776e9
2528,Alex Sola,es ESP,DFFW,Real Sociedad,es La Liga,22,1999,2,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.20,0.18,0.38,0.20,0.38,Matches,5fa714d5
2529,Augusto Solari,ar ARG,MFDF,Celta Vigo,es La Liga,29,1992,26,4,714,7.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.05,0.05,0.10,0.05,0.10,Matches,3ca6106c
2530,Roberto Soldado,es ESP,FW,Levante,es La Liga,36,1985,18,7,664,7.4,3,2,3,0,0,7,2,0.41,0.27,0.68,0.41,0.68,3.5,3.5,0.9,4.4,0.47,0.12,0.59,0.47,0.59,Matches,9d66fbe3
2531,Carlos Soler,es ESP,MF,Valencia,es La Liga,24,1997,32,28,2474,27.5,11,5,4,7,7,4,0,0.40,0.18,0.58,0.15,0.33,8.1,2.8,4.5,7.3,0.30,0.16,0.46,0.10,0.26,Matches,fed17f5a
2532,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32,1988,33,33,2970,33.0,0,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,Matches,420c18a1
2533,Son,es ESP,DF,Levante,es La Liga,27,1994,26,22,1971,21.9,1,0,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05,1.2,1.2,1.6,2.8,0.05,0.07,0.13,0.05,0.13,Matches,037dbd30
2534,Brandon Soppy,fr FRA,DFMF,Udinese,it Serie A,19,2002,28,7,777,8.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.05,0.03,0.08,0.05,0.08,Matches,28f66c2e
2535,Jakob Sørensen,dk DEN,MFDF,Norwich City,eng Premier League,23,1998,10,6,604,6.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.06,0.00,0.06,0.06,0.06,Matches,953c30b0
2536,David Soria,es ESP,GK,Getafe,es La Liga,28,1993,38,38,3414,37.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8f8c6934
2537,Roberto Soriano,it ITA,MFFW,Bologna,it Serie A,30,1991,35,32,2622,29.1,0,4,0,0,0,6,2,0.00,0.14,0.14,0.00,0.14,1.9,1.9,4.2,6.1,0.06,0.14,0.21,0.06,0.21,Matches,9d4c45d6
2538,Alexander Sørloth,no NOR,FW,Real Sociedad,es La Liga,25,1995,33,20,1763,19.6,4,0,4,0,0,2,0,0.20,0.00,0.20,0.20,0.20,6.5,6.5,2.6,9.1,0.33,0.13,0.47,0.33,0.47,Matches,e92cd3f7
2539,Alberto Soro,es ESP,MFFW,Granada,es La Liga,22,1999,16,7,578,6.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.2,0.10,0.09,0.19,0.10,0.19,Matches,452c3055
2540,Borna Sosa,hr CRO,DF,Stuttgart,de Bundesliga,23,1998,28,28,2498,27.8,1,8,1,0,0,4,0,0.04,0.29,0.32,0.04,0.32,0.9,0.9,5.9,6.7,0.03,0.21,0.24,0.03,0.24,Matches,af0d79a9
2541,Hugo Sotelo,es ESP,MF,Celta Vigo,es La Liga,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3aa74860
2542,Florian Sotoca,fr FRA,FWMF,Lens,fr Ligue 1,30,1990,35,28,2480,27.6,6,4,4,2,2,7,0,0.22,0.15,0.36,0.15,0.29,8.6,7.1,3.0,10.1,0.31,0.11,0.42,0.26,0.37,Matches,7a42d0df
2543,Riccardo Sottil,it ITA,FW,Fiorentina,it Serie A,22,1999,24,14,1239,13.8,3,2,3,0,0,4,1,0.22,0.15,0.36,0.22,0.36,2.5,2.5,2.1,4.7,0.18,0.16,0.34,0.18,0.34,Matches,94816803
2544,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,26,1995,35,34,3062,34.0,5,1,5,0,0,3,0,0.15,0.03,0.18,0.15,0.18,4.8,4.4,1.5,5.9,0.14,0.05,0.19,0.13,0.17,Matches,6613c819
2545,Matìas Soulé,ar ARG,FW,Juventus,it Serie A,18,2003,2,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,2.40,0.00,2.40,2.40,2.40,Matches,c13ddd3e
2546,Sambou Soumano,sn SEN,FW,Lorient,fr Ligue 1,20,2001,21,4,447,5.0,3,0,3,0,0,1,0,0.60,0.00,0.60,0.60,0.60,3.4,3.4,0.1,3.5,0.68,0.02,0.71,0.68,0.71,Matches,7cc00776
2547,Adama Soumaoro,fr FRA,DF,Bologna,it Serie A,29,1992,28,26,2266,25.2,0,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,0.9,0.03,0.00,0.04,0.03,0.04,Matches,7b075c75
2548,Boubakary Soumaré,fr FRA,MF,Leicester City,eng Premier League,22,1999,19,12,1102,12.2,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.4,0.4,0.4,0.8,0.03,0.03,0.06,0.03,0.06,Matches,ae59b359
2549,Arnaud Souquet,fr FRA,DF,Montpellier,fr Ligue 1,29,1992,34,27,2334,25.9,1,3,1,0,0,4,0,0.04,0.12,0.15,0.04,0.15,0.5,0.5,1.3,1.8,0.02,0.05,0.07,0.02,0.07,Matches,4e0afc5d
2550,Djibril Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,24,1997,31,28,2415,26.8,2,3,2,0,0,5,0,0.07,0.11,0.19,0.07,0.19,0.6,0.6,2.2,2.8,0.02,0.08,0.10,0.02,0.10,Matches,4c6facae
2551,Saidou Sow,gn GUI,DF,Saint-Étienne,fr Ligue 1,19,2002,13,11,989,11.0,2,1,2,0,0,2,0,0.18,0.09,0.27,0.18,0.27,0.4,0.4,0.6,1.0,0.03,0.06,0.09,0.03,0.09,Matches,f6b94e8d
2552,Çağlar Söyüncü,tr TUR,DF,Leicester City,eng Premier League,25,1996,28,28,2497,27.7,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.1,1.5,0.05,0.00,0.05,0.05,0.05,Matches,21166ff4
2553,Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,28,1993,3,2,127,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.05,0.09,0.13,0.05,0.13,Matches,3626daea
2554,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,29,1992,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ac4003af
2555,Tony Springett,eng ENG,FWMF,Norwich City,eng Premier League,18,2002,3,1,141,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.6,0.17,0.22,0.40,0.17,0.40,Matches,35be8087
2556,Jerry St. Juste,nl NED,DF,Mainz 05,de Bundesliga,24,1996,8,7,604,6.7,1,0,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,0.9,0.9,0.1,1.0,0.13,0.02,0.15,0.13,0.15,Matches,90339309
2557,Anton Stach,de GER,MF,Mainz 05,de Bundesliga,22,1998,29,20,1861,20.7,1,6,1,0,0,6,0,0.05,0.29,0.34,0.05,0.34,1.7,1.7,3.3,5.0,0.08,0.16,0.24,0.08,0.24,Matches,0f59a7bf
2558,Kostas Stafylidis,gr GRE,DFMF,Bochum,de Bundesliga,27,1993,24,15,1388,15.4,0,1,0,0,0,3,1,0.00,0.06,0.06,0.00,0.06,0.5,0.5,0.9,1.3,0.03,0.06,0.09,0.03,0.09,Matches,861e0116
2559,Luca Stanga,it ITA,DF,Milan,it Serie A,19,2002,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2967bcd0
2560,Josip Stanišić,hr CRO,DF,Bayern Munich,de Bundesliga,21,2000,13,6,644,7.2,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.3,0.3,0.1,0.4,0.04,0.02,0.06,0.04,0.06,Matches,7ed08d5c
2561,Niklas Stark,de GER,DFMF,Hertha BSC,de Bundesliga,26,1995,26,22,2031,22.6,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.3,1.0,0.03,0.01,0.05,0.03,0.05,Matches,aad48be9
2562,Jason Steele,eng ENG,GK,Brighton,eng Premier League,30,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,28300a16
2563,Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,28,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a8a3d139
2564,Renato Steffen,ch SUI,FWMF,Wolfsburg,de Bundesliga,29,1991,20,13,967,10.7,0,1,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,1.3,1.3,1.2,2.4,0.12,0.11,0.23,0.12,0.23,Matches,dd669209
2565,Zack Steffen,us USA,GK,Manchester City,eng Premier League,26,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,42130443
2566,Calvin Stengs,nl NED,MF,Nice,fr Ligue 1,22,1998,24,11,1073,11.9,1,1,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,3.0,3.0,2.4,5.4,0.25,0.20,0.45,0.25,0.45,Matches,8f7e6783
2567,Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,25,1996,16,9,899,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.03,0.02,0.05,0.03,0.05,Matches,99f7e9aa
2568,Dale Stephens,eng ENG,MF,Burnley,eng Premier League,32,1989,3,1,124,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.03,0.06,0.02,0.06,Matches,653ee42d
2569,Jack Stephens,eng ENG,DF,Southampton,eng Premier League,27,1994,11,9,811,9.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Matches,6adbc307
2570,Raheem Sterling,eng ENG,FW,Manchester City,eng Premier League,26,1994,30,23,2128,23.6,13,5,11,2,3,1,0,0.55,0.21,0.76,0.47,0.68,14.4,12.0,4.6,16.6,0.61,0.20,0.81,0.51,0.70,Matches,b400bde0
2571,Finley Stevens,wls WAL,DF,Brentford,eng Premier League,18,2003,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.25,0.25,0.00,0.25,Matches,7e003182
2572,Angelo Stiller,de GER,MF,Hoffenheim,de Bundesliga,20,2001,26,18,1693,18.8,2,1,2,0,0,1,0,0.11,0.05,0.16,0.11,0.16,1.0,1.0,1.1,2.1,0.05,0.06,0.11,0.05,0.11,Matches,3b1ed320
2573,Lars Stindl,de GER,MFFW,M'Gladbach,de Bundesliga,32,1988,26,20,1629,18.1,4,5,4,0,2,10,0,0.22,0.28,0.50,0.22,0.50,6.4,4.9,3.4,8.3,0.35,0.19,0.54,0.27,0.46,Matches,7cd6badb
2574,Riccardo Stivanello,it ITA,DF,Bologna,it Serie A,17,2004,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,90e1d9dc
2575,Kevin Stöger,at AUT,MFFW,Mainz 05,de Bundesliga,27,1993,23,1,419,4.7,1,1,1,0,0,3,0,0.21,0.21,0.43,0.21,0.43,1.6,1.6,1.5,3.1,0.35,0.32,0.67,0.35,0.67,Matches,e5649a78
2576,Petar Stojanović,si SVN,DF,Empoli,it Serie A,25,1995,33,32,2735,30.4,1,1,1,0,0,11,1,0.03,0.03,0.07,0.03,0.07,0.9,0.9,3.4,4.4,0.03,0.11,0.14,0.03,0.14,Matches,13b44b02
2577,John Stones,eng ENG,DF,Manchester City,eng Premier League,27,1994,14,12,1119,12.4,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,1.0,1.0,0.1,1.1,0.08,0.01,0.09,0.08,0.09,Matches,5eecec3d
2578,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,26,1995,23,23,2070,23.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,339fe0e8
2579,Stefan Strandberg,no NOR,DF,Salernitana,it Serie A,31,1990,11,11,933,10.4,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.6,0.04,0.03,0.06,0.04,0.06,Matches,6d5e62b0
2580,Dávid Strelec,sk SVK,FWMF,Spezia,it Serie A,20,2001,10,7,502,5.6,1,0,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,0.4,0.4,0.8,1.2,0.07,0.15,0.22,0.07,0.22,Matches,2cb9486d
2581,Tobias Strobl,de GER,MFDF,Augsburg,de Bundesliga,31,1990,5,4,323,3.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,17780d2b
2582,Kevin Strootman,nl NED,MF,Cagliari,it Serie A,31,1990,10,7,640,7.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.03,0.03,0.00,0.03,Matches,ef2e5e1a
2583,Pascal Struijk,nl NED,DF,Leeds United,eng Premier League,21,1999,29,22,2055,22.8,1,0,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,1.3,1.3,0.3,1.6,0.06,0.01,0.07,0.06,0.07,Matches,f4d296e4
2584,Jens Stryger Larsen,dk DEN,DF,Udinese,it Serie A,30,1991,11,8,684,7.6,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,0.9,1.6,0.09,0.12,0.21,0.09,0.21,Matches,f91e81c9
2585,Leo Štulac,si SVN,MF,Empoli,it Serie A,26,1994,23,8,833,9.3,2,2,2,0,0,1,0,0.22,0.22,0.43,0.22,0.43,0.3,0.3,0.5,0.8,0.04,0.05,0.09,0.04,0.09,Matches,92948398
2586,Stefano Sturaro,it ITA,MF,Genoa,it Serie A,28,1993,25,24,1766,19.6,0,0,0,0,0,12,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,1.0,0.03,0.03,0.05,0.03,0.05,Matches,2334478a
